journey_id,journey_name,business_line,sessions,conversion_rate,measurement_quality,identity_match_rate,schema_gap_rate,release_hold_count,estimated_monthly_value,priority_score,recommended_next_move
JRN004,Request roadside assistance,Roadside,478470,0.4773,86.54,0.9044,0.055,4,599920.15,567.44,Hold release and repair critical beacon issue
JRN002,Renew membership,Membership,805162,0.1972,76.8,0.8986,0.11,2,409722.18,441.89,Promote experiment readout into stakeholder decision
JRN010,Search discounts,Discounts,558921,0.2228,64.95,0.76,0.275,2,271312.05,328.74,Fix measurement before scaling dashboard
JRN005,Manage vehicles,Roadside,269843,0.2941,71.46,0.8946,0.21,3,194135.08,251.51,Fix measurement before scaling dashboard
JRN001,Join membership,Membership,606593,0.0742,68.24,0.892,0.33,4,85544.4,214.76,Hold release and repair critical beacon issue
JRN012,Shop travel products,Retail,219013,0.0493,54.16,0.8822,0.63,5,12260.73,193.65,Promote experiment readout into stakeholder decision
JRN006,Book hotel,Travel,469265,0.06,59.53,0.7562,0.738,2,22341.85,181.52,Promote experiment readout into stakeholder decision
JRN008,Insurance quote,Insurance,402765,0.0832,56.52,0.8842,0.617,4,38894.7,178.2,Hold release and repair critical beacon issue
JRN003,Upgrade plan,Membership,347122,0.1137,62.8,0.8886,0.375,3,73672.38,172.68,Fix measurement before scaling dashboard
JRN011,Apply for credit card,Financial Services,169146,0.0308,48.45,0.747,0.925,2,6424.75,170.72,Hold release and repair critical beacon issue
JRN007,Request cruise quote,Travel,202036,0.0411,50.94,0.8785,0.925,1,15620.83,150.97,Investigate funnel fallout and test experience change
JRN009,Schedule car care,Automotive,235289,0.1276,73.56,0.896,0.21,2,59158.23,125.36,Fix measurement before scaling dashboard
